date,steps,distance,runDistance,calories,weekday,is_weekend
2023-01-01,15845,11370,240,383,Sunday,True
2023-01-02,9312,6993,226,240,Monday,False
2023-01-03,5795,4350,186,148,Tuesday,False
2023-01-04,1077,737,67,27,Wednesday,False
2023-01-05,4086,2949,192,98,Thursday,False
2023-01-06,1724,1180,178,44,Friday,False
2023-01-07,6482,4899,337,166,Saturday,True
2023-01-08,1295,886,116,31,Sunday,True
2023-01-09,5360,3890,378,138,Monday,False
2023-01-10,5428,4210,211,148,Tuesday,False
2023-01-11,1751,1198,200,43,Wednesday,False
2023-01-12,2952,2238,142,81,Thursday,False
2023-01-13,5568,4160,330,147,Friday,False
2023-01-14,16045,12226,249,417,Saturday,True
2023-01-15,12441,9489,294,326,Sunday,True
2023-01-16,7627,6016,404,211,Monday,False
2023-01-17,1157,792,128,29,Tuesday,False
2023-01-18,1999,1375,190,49,Wednesday,False
2023-01-22,3802,2753,155,96,Sunday,True
2023-01-23,504,345,73,14,Monday,False
2023-01-24,1472,1007,133,39,Tuesday,False
2023-01-25,745,510,148,24,Wednesday,False
2023-01-26,886,606,119,24,Thursday,False
2023-01-27,3393,2482,159,88,Friday,False
2023-01-28,10529,8334,279,288,Saturday,True
2023-01-29,1161,794,80,28,Sunday,True
2023-01-30,1425,975,190,38,Monday,False
2023-01-31,633,433,88,16,Tuesday,False
2023-02-01,1273,871,151,30,Wednesday,False
2023-02-02,2834,2154,107,74,Thursday,False
2023-02-03,2445,1871,129,66,Friday,False
2023-02-04,8350,6181,233,206,Saturday,True
2023-02-05,10113,7985,217,272,Sunday,True
2023-02-06,1263,893,134,34,Monday,False
2023-02-07,1938,1326,252,51,Tuesday,False
2023-02-08,3172,2174,222,71,Wednesday,False
2023-02-09,3207,2406,236,87,Thursday,False
2023-02-10,1450,992,143,34,Friday,False
2023-02-11,15557,12254,392,421,Saturday,True
2023-02-12,16302,12305,958,425,Sunday,True
2023-02-13,869,612,168,25,Monday,False
2023-02-14,2204,1508,199,57,Tuesday,False
2023-02-15,861,589,115,23,Wednesday,False
2023-02-16,3704,2696,267,95,Thursday,False
2023-02-17,2910,2242,119,84,Friday,False
2023-02-18,1760,1204,120,45,Saturday,True
2023-02-19,5113,3847,276,132,Sunday,True
2023-02-20,1452,993,118,35,Monday,False
2023-02-21,2917,2212,189,76,Tuesday,False
2023-02-22,2320,1587,291,60,Wednesday,False
2023-02-23,1202,822,198,38,Thursday,False
2023-02-24,6630,5190,179,177,Friday,False
2023-02-25,2907,2147,146,79,Saturday,True
2023-02-26,1482,1014,210,38,Sunday,True
2023-02-27,1454,995,217,35,Monday,False
2023-02-28,1781,1219,205,41,Tuesday,False
2023-03-01,2934,2172,287,76,Wednesday,False
2023-03-02,3501,2544,231,88,Thursday,False
2023-03-03,869,595,86,26,Friday,False
2023-03-04,6640,5026,262,173,Saturday,True
2023-03-05,12762,9726,304,325,Sunday,True
2023-03-06,1016,695,69,26,Monday,False
2023-03-07,2743,2047,132,73,Tuesday,False
2023-03-08,2156,1475,200,52,Wednesday,False
2023-03-09,2302,1768,172,62,Thursday,False
2023-03-10,1752,1211,188,43,Friday,False
2023-03-11,3579,2504,140,86,Saturday,True
2023-03-12,1095,749,182,33,Sunday,True
2023-03-13,841,575,116,25,Monday,False
2023-03-22,1058,724,135,30,Wednesday,False
2023-03-23,2571,1913,150,66,Thursday,False
2023-03-24,2441,1814,119,65,Friday,False
